Nombre del Centro;Nº de Registro;Dirección;Código postal;Localidad;Provincia;Teléfono;Fax;Tipo de Centro;Finalidad Asistencial;Titularidad;Dependencia Funcional;Posición
APOLO PSICOLOGIA;09-C22-0383;CL. DOCTOR JOSE LUIS SANTAMARIA  N. 17-19 (CENTRO POLIVALENTE LA ESTACION);09001;BURGOS;BURGOS;611506517;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);CALDERON BURGOS , SONIA;PRIVADOS;42.343926, -3.696977
AQUILES PODOLOGOS;47-C22-0028;PZ. FUENTE DORADA 17  A;47001;VALLADOLID;VALLADOLID;983379990;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;PODOLOGIA;ALVAREZ DOMINGUEZ , SARA;PRIVADOS;41.6520727, -4.7261965
AR NUTRICION VALENCIA DE DON JUAN;24-C22-0520;PZ. ELISEO ORTIZ 1 LOCAL BAJO 2 24200;24200;VALENCIA DE DON JUAN;LEON;987257626;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;NUTRICION Y DIETETICA;WECOCO S.L.;PRIVADOS;42.2936047, -5.5188832
ARATOY;49-C3-0149;AV. VALLADOLID 9;49022;ZAMORA;ZAMORA;980529866;653841774;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;LOGOPEDIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA)#TERAPIA OCUPACIONAL;TGD DE ZAMORA , ASOCIACION DE PADRES DE PERSONAS CON AUTISMO YO;PRIVADOS;41.521052, -5.725606
AREA CLINICA;24-C24-0016;CL. ALCALDE CARRO VERDEJO 6;24700;ASTORGA;LEON;987602980;987616146;CENTROS POLIVALENTES;ANGIOLOGIA Y CIRUGIA VASCULAR#CIRUGIA MENOR AMBULATORIA#CIRUGIA ORTOPEDICA Y TRAUMATOLOGIA#DEPOSITO DE MEDICAMENTOS#DERMATOLOGIA #FISIOTERAPIA#GINECOLOGIA #LOGOPEDIA#MEDICINA GENERAL /  DE FAMILIA#ODONTOLOGIA / ESTOMATOLOGIA#OFTALMOLOGIA#OTORRINOLARINGOLOGIA#OTRAS UNIDADES ASISTENCIALES (NUTRICION Y DIETETICA)#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA)#PODOLOGIA#PSIQUIATRIA#TRATAMIENTO DEL DOLOR#UROLOGIA;AREA CLINICA ASTORGA S.L.U.;PRIVADOS;42.4591664, -6.0573001
AREA CLINICA BENAVENTE;49-C251-0107;AV. AVENIDA DE LEON 54-56;49600;BENAVENTE;ZAMORA;980030373;0;CENTROS POLIVALENTES;ANGIOLOGIA Y CIRUGIA VASCULAR#GINECOLOGIA #OBSTETRICIA#ODONTOLOGIA / ESTOMATOLOGIA#OTORRINOLARINGOLOGIA#TRATAMIENTO DEL DOLOR#UROLOGIA;AREA CLINICA BENAVENTE S.L.;PRIVADOS;42.0065607, -5.6714336
AREA DE SALUD FISIOTERAPIA & OSTEOPATIA;09-C22-0239;CL. VENDIMIA SN (POL. IND. PRADO MARINA);09400;ARANDA DE DUERO;BURGOS;652951721;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;MORENO BERGARECHE , MAIALEN;PRIVADOS;41.6547705, -3.7106526
AREA DENTAL LA CATEDRAL;24-C251-0334;CL. SAN LORENZO 2;24002;LEON;LEON;661004759;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;LOPEZ SASTRE , CRISTINA;PRIVADOS;40.9416486, -6.0446614
ARETE PSICOLOGIA;37-C22-0649;CL. ZAMORA 84-86 ENTREPLANTA OFICINA 3;37002;SALAMANCA;SALAMANCA;609318918;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA)#PSIQUIATRIA;REY SELLERS , LAURA ISABEL;PRIVADOS;40.9651572, -5.6640182
ARNAIZ CLINICA DENTAL;09-C251-0043;AV. DEL ARLANZON 9  C;09004;BURGOS;BURGOS;947206882;947277119;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ARNAIZ CLINICA DENTAL S.L.;PRIVADOS;42.3411672, -3.6962453
ARTE DENTAL TUDELA;47-C251-0237;CL. CALVARIO 2;47320;TUDELA DE DUERO;VALLADOLID;983523205;983523205;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;ARTE DENTAL TUDELA S.L.P.;PRIVADOS;41.5869461, -4.5830758
ASESORAMIENTO PSICOLOGICO ZIAJA-CIERLITZKA;40-C22-0139;PZ. ESPRONCEDA 15 LOC.;40006;SEGOVIA;SEGOVIA;690799110;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);ZIAJA , ALDONA MARIA;PRIVADOS;40.9306858, -4.0994619
ASOCIACION ESCLEROSIS MULTIPLE PALENCIA;34-C3-0165;CL. FRANCISCO VIGHI 23;34004;PALENCIA;PALENCIA;979100150;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;FISIOTERAPIA#LOGOPEDIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);ESCLEROSIS MULTIPLE PALENCIA;PRIVADOS;41.9909485, -4.5149126
ASOCIACION ESPAÑOLA CONTRA EL CANCER AECC;24-C3-0364;AV. PORTUGAL PARQUE DEL TEMPLE 1  F;24403;PONFERRADA;LEON;0;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);ASOCIACION ESPAÑOLA CONTRA EL CANCER;PRIVADOS;42.545374, -6.604978
ASOCIACION ESPAÑOLA CONTRA EL CANCER EN PALENCIA;34-C3-0199;CL. GENERAL AMOR 4-6;34005;PALENCIA;PALENCIA;900100036;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;FISIOTERAPIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);ASOCIACION ESPAÑOLA CONTRA EL CANCER;PRIVADOS;42.008841, -4.533647
ASOCIACION SALAMANCA ACOGE;37-C3-0157;AV. DE LOS CEDROS 53;37004;SALAMANCA;SALAMANCA;923019030;923061024;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);SALAMANCA ACOGE;;40.974144, -5.650017
ASOCIACION SANAGUA ASPACE ZAMORA;49-C3-0148;RD. DE LA FERIA 13;49005;ZAMORA;ZAMORA;980671444;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;FISIOTERAPIA#LOGOPEDIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA)#TERAPIA OCUPACIONAL;ASOCIACION SANAGUA ASPACE ZAMORA;PRIVADOS;41.5031517, -5.7514068
ASOCIACION SEGOVIANA DE ESCLEROSIS MULTIPLE;40-C3-0131;AV. DE LA CONSTITUCION 28;40005;SEGOVIA;SEGOVIA;620607860;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;FISIOTERAPIA;ASOC SEGOVIANA DE ESCLEROSIS MULTIPLE-ASGEM;PRIVADOS;40.9393033, -4.112249
ASPACE PALENCIA;34-C3-0193;CL. RENAULT-ESPAÑA, S/N (ESTADIO NUEVA BALASTERA, PUERTA 8);34004;PALENCIA;PALENCIA;0;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;FISIOTERAPIA#LOGOPEDIA;ASPACE PALENCIA;PRIVADOS;42.0108856, -4.5328735
ASPAR LA BESANA;37-C22-0351;CL. LAS ESCUELAS 33;37797;CALZADA DE VALDUNCIEL;SALAMANCA;923310223;923310455;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA)#TERAPIA OCUPACIONAL;ASPAR LA BESANA;ORGANIZACIONES NO GUBERNAMENTALES;41.0854128, -5.7029245
ASPY-VILLABLINO CLINICA OMEDO;24-C3-0323;CL. SERAFIN MORALES 3;24100;VILLABLINO;LEON;669552765;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;ENFERMERIA#MEDICINA DEL TRABAJO#OBTENCION DE MUESTRAS;ASPY PREVENCION S.L.U.;PRIVADOS;42.9392035, -6.3220097
ATENCION PSICOLOGICA UVA;47-C3-0413;PZ. DE SANTA CRUZ 6;47002;VALLADOLID;VALLADOLID;983186698;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);UNIVERSIDAD DE VALLADOLID;OTRAS ENTIDADES U ORGANISMOS PUBLICOS;41.6521807, -4.728605
ATENEA CENTRO MEDICO;05-C21-0057;PS. DE LA ESTACION, 5;05001;AVILA;AVILA;920251166;0;CONSULTAS MEDICAS;GINECOLOGIA #OBSTETRICIA;DE GRADO SANCHEZ , CARLOS ANTONIO;PRIVADOS;40.6566365, -4.6872499
AUDICOST AUDIFONOS;47-E5-0020;CL. GONDOMAR 2, BAJO, PUERTA 5;47011;VALLADOLID;VALLADOLID;691205837;0;ESTABLECIMIENTO DE AUDIOPROTESIS;ESTABLECIMIENTO DE AUDIOPROTESIS;RICO PEREZ , DIEGO;PRIVADOS;41.6521328, -4.728562
AUDIFONOS CENTRO;09-E-0088;CL. LAIN CALVO 42;09003;BURGOS;BURGOS;0;0;ESTABLECIMIENTOS SANITARIOS (OPTICAS, ORTOPEDIAS, AUDIOPROTESIS);ESTABLECIMIENTO DE AUDIOPROTESIS;AUDIFONOS CENTRO;PRIVADOS;42.343171, -3.700967
AUDIFONOS CENTRO;09-E5-0017;PZ. MAYOR 45;09100;MELGAR DE FERNAMENTAL;BURGOS;947274320;0;ESTABLECIMIENTO DE AUDIOPROTESIS;ESTABLECIMIENTO DE AUDIOPROTESIS;CASTIL BUREBA S.L.;PRIVADOS;42.4368656, -4.2577635
AUDIFONOS CENTRO BELORADO;09-E5-0008;PZ. MAYOR 22;09250;BELORADO;BURGOS;628907872;0;ESTABLECIMIENTO DE AUDIOPROTESIS;ESTABLECIMIENTO DE AUDIOPROTESIS;CASTIL BUREBA S.L.;PRIVADOS;42.4207274, -3.1901206
AUDIFONOS CENTRO LERMA;09-E5-0006;PS. DE LOS MESONES 1;09340;LERMA;BURGOS;0;0;ESTABLECIMIENTO DE AUDIOPROTESIS;ESTABLECIMIENTO DE AUDIOPROTESIS;CASTIL BUREBA S.L.;PRIVADOS;42.0281015, -3.7599227
AUDIKA CENTROS AUDITIVOS;40-E5-0002;CL. JOSE ZORRILLA 78;40002;SEGOVIA;SEGOVIA;646542997;0;ESTABLECIMIENTO DE AUDIOPROTESIS;ESTABLECIMIENTO DE AUDIOPROTESIS;AUDIO SELECCION S.L.;PRIVADOS;40.9394127, -4.1149083
AUDIKA CENTROS AUDITIVOS CUELLAR;40-E5-0005;CL. LAS PARRAR 14;40200;CUELLAR;SEGOVIA;0;0;ESTABLECIMIENTO DE AUDIOPROTESIS;ESTABLECIMIENTO DE AUDIOPROTESIS;AUDIO SELECCION S.L.;PRIVADOS;41.400443, -4.311978
AUDIKA CENTROS AUDITIVOS SORIA;42-E5-0003;CL. NUMANCIA, 19 , BAJO;42001;SORIA;SORIA;975243254;0;ESTABLECIMIENTO DE AUDIOPROTESIS;ESTABLECIMIENTO DE AUDIOPROTESIS;AUDIO SELECCION S.L.;PRIVADOS;41.765322, -2.4682468
AUDIKA CENTROS AUDITIVOS ZAMORA;49-E5-0013;AV. TRES CRUCES 14;49013;ZAMORA;ZAMORA;913809178;0;ESTABLECIMIENTO DE AUDIOPROTESIS;ESTABLECIMIENTO DE AUDIOPROTESIS;AUDIO SELECCION S.L.;PRIVADOS;41.509735, -5.742068
AUDIOCOST AUDIFONOS;37-E5-0008;AV. PORTUGAL 91-LOC.;37005;SALAMANCA;SALAMANCA;626218238;0;ESTABLECIMIENTO DE AUDIOPROTESIS;ESTABLECIMIENTO DE AUDIOPROTESIS;AUDIOCOST SALAMANCA S.L.;PRIVADOS;40.971783, -5.66136
AUDIOLOGY CLINICAL - NEUROAUDIOLOGIA SANTA MARTA;37-E5-0009;AV. MADRID 79;37900;SANTA MARTA DE TORMES;SALAMANCA;617790750;0;ESTABLECIMIENTO DE AUDIOPROTESIS;ESTABLECIMIENTO DE AUDIOPROTESIS;LOPEZ PETISME , RAQUEL;PRIVADOS;40.9502951, -5.6288362
AUDIOMEDICAL CLINICA;37-C22-0507;CL. CONDES DE CRESPO RASCON 12-22;37002;SALAMANCA;SALAMANCA;645930199;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA#PODOLOGIA;BARANDA ALVAREZ , MANUELA MAXIMINIA;PRIVADOS;40.9672142, -5.6656702
AUDITIVA LEON;24-E5-0010;CL. FRAY LUIS DE LEON N. 27, BAJO;24005;LEON;LEON;987035730;0;ESTABLECIMIENTO DE AUDIOPROTESIS;ESTABLECIMIENTO DE AUDIOPROTESIS;DE LA TORRE ESPINOSA , LUIS FERNANDO;PRIVADOS;42.5899993, -5.5685372
AURA FISIOTERAPIA Y FELDENKRAIS;42-C22-0138;CL. PUERTAS DE PRO, 19 LOCAL;42002;SORIA;SORIA;667099684;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;TRASSIERRA VILLA , AURA MARINA;PRIVADOS;41.7633842, -2.4642041
AURAL;24-E5-0023;CL. ALCAZAR DE TOLEDO 6;24001;LEON;LEON;0;0;ESTABLECIMIENTO DE AUDIOPROTESIS;ESTABLECIMIENTO DE AUDIOPROTESIS;PROMOAUDIO S.L.;PRIVADOS;42.597742, -5.5754364
AURAL CENTROS AUDITIVOS;47-E5-0019;PZ. DE LA UNIVERSIDAD 3;47002;VALLADOLID;VALLADOLID;653490929;0;ESTABLECIMIENTO DE AUDIOPROTESIS;ESTABLECIMIENTO DE AUDIOPROTESIS;AUDIODIVERSIDAD  CENTRO AUDITIVO S.L.;PRIVADOS;41.652679500000005, -4.7217420154845975
AUREA FAMILIA. CENTRO PSICO-JURIDICO Y MEDIACION;37-C22-0705;CL. VARILLAS 22;37001;SALAMANCA;SALAMANCA;603824164;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);SANCHEZ HERRERO , IGNACIO;PRIVADOS;40.9639062, -5.6618936
AUTEO, GABINETE AUDIOLOGICO Y ORTOPEDIA;42-E-0025;CL. C/ TEJERA, 22 - BAJO;42001;SORIA;SORIA;975228412;0;ESTABLECIMIENTOS SANITARIOS (OPTICAS, ORTOPEDIAS, AUDIOPROTESIS);ESTABLECIMIENTO DE AUDIOPROTESIS#ESTABLECIMIENTO DE ORTOPEDIA;HEARING AIDS S.L.;PRIVADOS;41.7633842, -2.4642041
AVANTA PREVENCION INTEGRAL EN RESIDENCIA VIRGEN DEL CARMEN;47-C3-0343;CR. DE VALDESTILLAS 22;47196;PEDRAJA DE PORTILLO (LA);VALLADOLID;645435796;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;MEDICINA DEL TRABAJO;AVANTA PREVENCION INTEGRAL SLU;PRIVADOS;41.4739474, -4.6486779
AVANTI, CENTRO DE PSICOLOGIA Y MEDIACION;47-C22-0568;CL. PASION 13 - ESC. IZDA. 7 - OF. 1B;47001;VALLADOLID;VALLADOLID;698980919;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);AVANTI PSICOLOGIA Y MEDIACION S.L.;PRIVADOS;41.6521328, -4.728562
AVANZA PSICOLOGIA Y LOGOPEDIA;24-C22-0206;CL. CLARA CAMPOAMOR 5  A;24004;PONFERRADA;LEON;649752792;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;LOGOPEDIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);GONZALEZ GAVELA , VANESSA;PRIVADOS;42.6073377, -5.5849184
AXIA FISIOTERAPIA;05-C22-0168;PS. SAN ROQUE, 38;05001;AVILA;AVILA;609544159;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;LORENTE SANJUAN , IGNACIO;PRIVADOS;40.6534333, -4.6859711
AXIO LEON POLICLINICA;24-C24-0310;CL. JUAN DE BADAJOZ 2;24001;LEON;LEON;0;0;CENTROS POLIVALENTES;CARDIOLOGIA#CIRUGIA ORTOPEDICA Y TRAUMATOLOGIA#DEPOSITO DE MEDICAMENTOS#FISIOTERAPIA#MEDICINA ESTETICA#MEDICINA GENERAL /  DE FAMILIA#NUTRICION Y DIETETICA#PODOLOGIA#RADIODIAGNOSTICO#TRATAMIENTO DEL DOLOR;AXION LEON POLICLINICA S.L.;PRIVADOS;42.6016972, -5.5799584
AYA FISIOTERAPIA;47-C22-0140;CL. MATEO SEOANE SOBRAL LOCAL 3 4;47014;VALLADOLID;VALLADOLID;651158749;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;AYA FISIOTERAPIA E.S.P.J.;PRIVADOS;41.6373909, -4.7551032
AYMARA ABREU. CLINICA DE FISIOTERAPIA;37-C22-0563;CL. SORIAS, N. 13 - LOCAL 1;37002;SALAMANCA;SALAMANCA;648507783;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;ABREU CORRALES , AYMARA;PRIVADOS;40.9666479, -5.6672575
AYUSO PSICOLOGIA;42-C22-0092;CL. NAVAS DE TOLOSA, 16, BAJO;42001;SORIA;SORIA;630466711;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);AYUSO SALAZAR , ANTONIO;PRIVADOS;41.76646, -2.4732601
BALDEON DENTAL CLINIC;24-C251-0099;CL. ORDOÑO II 39;24001;LEON;LEON;987206103;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;BALDEON DENTAL CLINIC S.L.U.;PRIVADOS;42.5965629, -5.5770135
BAMBU BLANCO. FISIOTERAPIA;05-C22-0156;CL. RAFAELA DE ANTONIO, 11;05003;AVILA;AVILA;635214886;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;BLANCO BARCENILLA , LEIRE;PRIVADOS;40.6482596, -4.6970348
BARBARA CARRIEDO DIEZ;47-C21-0472;CL. PIO DEL RIO HORTEGA 12;47014;VALLADOLID;VALLADOLID;675258559;0;CONSULTAS MEDICAS;DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA#MEDICINA GENERAL /  DE FAMILIA;CARRIEDO DIEZ , BARBARA;PRIVADOS;41.754444, -4.781944
BASE HELITRANSPORTADA DE LAS CASILLAS;40-C257-0016;CR. CARRETERA SG 911P.K 745;40500;RIAZA;SEGOVIA;650923177;0;CENTROS MOVILES DE ASISTENCIA SANITARIA;DEPOSITO DE MEDICAMENTOS#TRANSPORTE SANITARIO #URGENCIAS;DE GOYENECHE VAZQUEZ DE SEYAS , FRANCISCO JAVIER;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;41.754444, -4.781944
BCP NUTRICION VILLA;24-C3-0368;CL. VILLABENAVENTE 12;24004;LEON;LEON;0;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;OTRAS UNIDADES ASISTENCIALES (NUTRICION Y DIETETICA);BCP ENTRENAMIENTO DEPORTIVO S.L.;PRIVADOS;42.594521, -5.574009
BEATRIZ HERAS PSICOLOGA;34-C22-0098;CL. PORTILLO DOÑA MARIA 2 BAJO;34005;PALENCIA;PALENCIA;696031103;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);HERAS MORENO , BEATRIZ;PRIVADOS;42.0083356, -4.5358434
BEGOÑA DIEZ PSICOLOGIA;47-C22-0577;PS. ZORRILLA 6 - OF- 3;47006;VALLADOLID;VALLADOLID;635600770;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);DIEZ NIETO , MARIA BEGOÑA;PRIVADOS;41.6521328, -4.728562
BELEN PUERTO LOPEZ, S.L.;24-C290-0007;AV. DE ASTORGA 9;24400;PONFERRADA;LEON;987425225;987417795;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;TRANSPORTE SANITARIO;BELEN PUERTO LOPEZ, S.L.;PRIVADOS;42.5497766, -6.5823197
BELEN VARONA PSICOLOGA;09-C22-0353;CL. VITORIA N 29 - 1 OFIC. 3B;09004;BURGOS;BURGOS;607955186;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);VARONA ALVAREZ , BELEN;PRIVADOS;42.343926, -3.696977
BELIA CLINIC;09-C2590-0029;CL. VITORIA 4 OFICINA 208 (EDIFICIO AVENIDA);09004;BURGOS;BURGOS;947255657;947255638;CONSULTAS MEDICAS;DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA#MEDICINA GENERAL /  DE FAMILIA;COLINA ESPINOSA , LUCIA;PRIVADOS;42.3461446, -3.6819956
BIO CENTRO DE FISIOTERAPIA;24-C22-0002;CL. PADRE JAVIER DE VALLADOLID 7  A;24005;LEON;LEON;987084080;987084080;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;RUIZ GARCIA , RAUL;PRIVADOS;42.57822, -5.5527271
BIOTISSULAB ANATOMIA PATOLOGICA;09-C256-0021;CL. CRUZ ROJA HOSPITAL RECOLETAS BURGOS 0;09006;BURGOS;BURGOS;947244055;947240424;ESPECIALIZADOS: CENTROS DE DIAGNOSTICO;ANATOMIA PATOLOGICA;BIOTISSULAB S.L.;PRIVADOS;42.3440701, -3.68321
BODYBRITE;47-C3-0397;CL. REGALADO 10;47002;VALLADOLID;VALLADOLID;682742396;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA;NANI Y NINI S.L.;PRIVADOS;41.6516734, -4.725010527893959
BOTIQUIN DE OBRA DE DEMOLICION CT COMPOSTILLA GRUPOS 3, 4 Y 5;24-C3-0337;CR. DEL PANTANO SN (EDIFICIO DE OFICINAS, BAJO);24492;CUBILLOS DEL SIL;LEON;0;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA#TRANSPORTE SANITARIO;F. ROMERO SALUD S.L.;PRIVADOS;42.6493483, -6.56802
BOTIQUIN FACTORIA DE ROLDAN S.A;24-C3-0289;CL. DEL MEDIO;24416;SANTO TOMAS DE LAS OLLAS;LEON;987446100;987446145;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;ENFERMERIA;ROLDAN S.A.;PRIVADOS;42.5530398, -6.5792405
BP CLINIC;47-C24-0132;CL. MARINA ESCOBAR 5;47001;VALLADOLID;VALLADOLID;625035928;0;CENTROS POLIVALENTES;CIRUGIA ESTETICA#DEPOSITO DE MEDICAMENTOS#MEDICINA ESTETICA#NUTRICION Y DIETETICA;BPDP MEDICAL S.L.;PRIVADOS;41.6521328, -4.728562
BRAVE ESTUDIO FITNESS;34-C22-0173;CR. AGUILAR 12;34840;CERVERA DE PISUERGA;PALENCIA;638453960;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;FISIOTERAPIA;DE SANTIAGO DANIEL , ELENA;PRIVADOS;42.864458, -4.496434
C. TEMPORAL DE VACUNACION COVID 19 - POLIDEPORTIVO MUNICIPAL DE LA BAÑEZA;24-C290-0042;PZ. REYES CATOLICOS 28;24750;BAÑEZA (LA);LEON;0;0;OTROS PROVEEDORES DE ASIST. SANITARIA SIN INTERNAMIENTO;VACUNACION;GERENCIA DE SALUD DE LAS AREAS DE LEON;MUNICIPIO;42.2975859, -5.8954732
CAMINO. ASOCIACION DE DAÑO CEREBRAL ADQUIRIDO DE VALLADOLID;47-C3-0437;CL. LUCAYAS S/N;47014;VALLADOLID;VALLADOLID;654819509;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;LOGOPEDIA#OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA)#TERAPIA OCUPACIONAL;CAMINO. ASOCIACION DE DAÑO CEREBRAL ADQUIRIDO DE V;ORGANIZACIONES NO GUBERNAMENTALES;41.6521807, -4.728605
CAMPUS&CO;24-C3-0365;CL. VIRGEN DEL CASTILLO 8;24200;VALENCIA DE DON JUAN;LEON;696278802;0;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;PSIQUIATRIA INFANTIL Y DE LA ADOLESCENCIA;ALBURQUERQUE GUTIERREZ , ELENA;PRIVADOS;42.292734, -5.520959
CANTALAPIEDRA DENTAL SLP;47-C251-0012;CL. MONTERO CALVO 8  A;47001;VALLADOLID;VALLADOLID;983351202;983344347;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;CANTALAPIEDRA ALVAREZ , JOSE MARIA;PRIVADOS;41.6498629, -4.7275063
CAP DE LASTRAS DEL POZO;40-C232-0381;PZ. PZA MAYOR 1;40142;LASTRAS DEL POZO;SEGOVIA;921196006;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;AYUNTAMIENTO DE LASTRAS DEL POZO;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;40.8791404, -4.3461426
C.A.P. DE SAN PEDRO DEL MONTE;09-C232-0196;PZ. DE LA FUENTE 4;09259;SAN PEDRO DEL MONTE;BURGOS;681130993;0;CONSULTORIOS DE ATENCION PRIMARIA;ENFERMERIA#MEDICINA GENERAL /  DE FAMILIA;JUNTA VECINAL SAN PEDRO DEL MONTE;SERVICIOS O INSTITUTOS DE SALUD DE LAS CCAA;42.4160017, -3.1102229
CARITAS DIOCESANA DE CIUDAD RODRIGO;37-C3-0156;CL. DIEZ TARAVILLA 4-6;37500;CIUDAD RODRIGO;SALAMANCA;923460693;923042314;SERVICIOS SANITARIOS INTEGRADOS EN ORGANIZACION NO SANITARIA;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);CARITAS DIOCESANA DE CIUDAD RODRIGO;;40.597881, -6.535615
CARMEN MELENDO CLINICA DENTAL;47-C251-0223;CL. FELIPE II 2 2 IZDA.;47003;VALLADOLID;VALLADOLID;983044557;0;ESPECIALIZADOS: CLINICAS DENTALES;ODONTOLOGIA / ESTOMATOLOGIA;MELENDO MIGUEL , MARIA CARMEN;PRIVADOS;41.6543541, -4.7260301
CARMEN SESMA PSICOLOGIA;40-C22-0175;PS. EZEQUIEL GONZALEZ 32;40002;SEGOVIA;SEGOVIA;618763580;0;CONSULTAS DE OTROS PROFESIONALES SANITARIOS;OTRAS UNIDADES ASISTENCIALES (PSICOLOGIA SANITARIA);SESMA GOMEZ , MARIA DEL CARMEN;PRIVADOS;40.945778, -4.122668
